gvkey,iid,datadate,tic,prccd,return,dollar
108132,1,20170918,SPY,249.72,1.242269395,12422.69395
108132,1,20170919,SPY,249.97,1.243513057,12435.13057
108132,1,20170920,SPY,250.06,1.243960776,12439.60776
108132,1,20170921,SPY,249.39,1.240627761,12406.27761
108132,1,20170922,SPY,249.44,1.240876493,12408.76493
108132,1,20170925,SPY,248.93,1.238339422,12383.39422
108132,1,20170926,SPY,249.08,1.23908562,12390.8562
108132,1,20170927,SPY,250.05,1.243911029,12439.11029
108132,1,20170928,SPY,250.35,1.245403424,12454.03424
108132,1,20170929,SPY,251.23,1.249781115,12497.81115
108132,1,20171002,SPY,252.32,1.255203483,12552.03483
108132,1,20171003,SPY,252.86,1.257889794,12578.89794
108132,1,20171004,SPY,253.16,1.259382188,12593.82188
108132,1,20171005,SPY,254.66,1.266844162,12668.44162
108132,1,20171006,SPY,254.37,1.265401514,12654.01514
108132,1,20171009,SPY,253.95,1.263312161,12633.12161
108132,1,20171010,SPY,254.62,1.266645176,12666.45176
108132,1,20171011,SPY,255.02,1.268635036,12686.35036
108132,1,20171012,SPY,254.64,1.266744669,12667.44669
108132,1,20171013,SPY,254.95,1.26828681,12682.8681
108132,1,20171016,SPY,255.29,1.269978191,12699.78191
108132,1,20171017,SPY,255.47,1.270873628,12708.73628
108132,1,20171018,SPY,255.72,1.27211729,12721.1729
108132,1,20171019,SPY,255.79,1.272465516,12724.65516
108132,1,20171020,SPY,257.11,1.279032053,12790.32053
108132,1,20171023,SPY,256.11,1.274057403,12740.57403
108132,1,20171024,SPY,256.56,1.276295996,12762.95996
108132,1,20171025,SPY,255.29,1.269978191,12699.78191
108132,1,20171026,SPY,255.62,1.271619825,12716.19825
108132,1,20171027,SPY,257.71,1.282016842,12820.16842
108132,1,20171030,SPY,256.75,1.277241179,12772.41179
108132,1,20171031,SPY,257.15,1.279231039,12792.31039
108132,1,20171101,SPY,257.49,1.280922419,12809.22419
108132,1,20171102,SPY,257.59,1.281419884,12814.19884
108132,1,20171103,SPY,258.45,1.285698083,12856.98083
108132,1,20171106,SPY,258.85,1.287687942,12876.87942
108132,1,20171107,SPY,258.67,1.286792505,12867.92505
108132,1,20171108,SPY,259.11,1.288981351,12889.81351
108132,1,20171109,SPY,258.17,1.284305181,12843.05181
108132,1,20171110,SPY,258.09,1.283907209,12839.07209
108132,1,20171113,SPY,258.33,1.285101125,12851.01125
108132,1,20171114,SPY,257.73,1.282116335,12821.16335
108132,1,20171115,SPY,256.44,1.275699038,12756.99038
108132,1,20171116,SPY,258.62,1.286543773,12865.43773
108132,1,20171117,SPY,257.86,1.28276304,12827.6304
108132,1,20171120,SPY,258.3,1.284951885,12849.51885
108132,1,20171121,SPY,259.99,1.293359042,12933.59042
